"","num","title","content"
"1",5,"사랑해요 엔프제","         천사가 있다면 당신일 것         "
"2",6,"ㅎㅇ","너희들 다 내 거임"
"3",7,"엔프제 갤러리 특)","엔프제는 없고엔프제를 보려는 관객만 있다"
"4",8,"갤주는 갤이름 대문자로 바꿔라. ㅈㄴ 불편하네",""
"5",9,"ㅎㅇㅎㅇ","엔갤 흥하길 바람"
"6",12,"엔프제 노무 부러워","니네 성격 나줘ㅡㅡ "
"7",13,"유사 엔프제 입갤","인프제도 엔프제로 쳐달란 말이에요 ㅡㅡ"
"8",14,"enfj 현실 어디에서 잘보임?","enfj 좋은데 극소수 유형이라 동족 찾는거보다 더찾기힘듬.. "
"9",15,"안녕","안녕 안녕 반가워!"
"10",18,"엔프제도 멘탈 약함?","내 주위 엔프제는 잘 울던데"
"11",19,"신기 엔프제 갤도있네","저도 처음검사부터 5년 넘게까지 계속 엔프제만 나오는 엔프제예요!mbti잘 몰랐어서 enfj 잘 안나오는 지도 몰랐어요 신기..전 소문자도 좋아요 fj 모습이 뭔가 옆으로 된 순환표시같고 똥글똘글해서 귀여워요가끔 놀러올게요"
"12",21,"엔프제에게 호감을 얻으려면 어케해야할까요??","저 어떤 엔프제의 마음을 뺏고싶은데지금 어느정도 꽤 친한정도까진 되었는데더더더 친해지고싶은데 쉽지가않네요..어케해야 저에게 넘어올까요"
"13",23,"ENFJ 엔프제 성격유형",""
"14",24,"엔프제 호감 얻는법?","에너지 발산할때 그 에너지 다 받아주면됨근데 그게 듣는 입장에서도 에너지가 되어야한다고 생각이유는 엔프제 눈치 존나 빨라서상대방이 듣기 귀찮아하는거 알면 그 대화 니랑 다시는 안함 ㄹㅇ그리고 그런 대화 안하는 순간 아웃"
"15",26,"ㅎㅇ 연속 다섯번 다 해봐도 엔프제 나온 사람임","우리나라에는 진심 엔프제 많진 않네"
"16",27,"친구가 자기는 무조건 대만 가야겠다고 함...","2/3일부터 2/8일까지 가기로 했는데"
"17",28,"분명 난 intp였는데 어제 enfj나왔음 ㅎㅎ","애앞에서 재롱떨며 부모노릇중 성격 개조된 디씨 2n년차 ㅇㅇ  나이먹으면 다 유순해집니다"
"18",29,"찐엔프제 인증!","!!"
"19",31,"다들 이상형이 어떻게 되여","궁금"
"20",37,"엔프제들 다 어딨어ㅠ","엔프제들 보러왔는데 엔프제가 없내요어디에 있어 다들 한국 엠비티아이 1프로의 현실인가ㅜ"
"21",38,"엔프제 되고싶다","난 잇팁 "
"22",39,"오늘 검사했는데 엔프제 나왔어"," - dc official App"
"23",40,"mbti 갤도 있네요ㅋㅋㅋㅋㅋㅋ ","그래도 enfj는 글이 많이 없나보네요 "
"24",41,"안녕하세용",""
