"","num","title","content"
"1",1,"ESFJ 갤도있네","안녕"
"2",2,"머노","         ㅇ        "
"3",3,"생겼노","ㅅㅂ ㅋㅋㅋ "
"4",5,"찐특) ESFJ 갤러리 함.","ㅇ"
"5",6,"ㅇㅇ","ㅇㅇㅇㅇ"
"6",7,"ESFJ가 갤을 한다고?","아니 나도 갤하는 ESFJ라서 관종끼 낭낭하긴한데ESFJ들 자기 mbti검사해놓고 관심없는애들 아니었음?"
"7",10,"엣프제 좋아","다정다감하고 믿을수있어 나랑 제일 잘 맞았어"
"8",11,"섹스","섹스"
"9",12,"씹인싸 유형갤 매니저 아이디부터 근본 보소","         갤만 만들어 놓고 친구들이랑 겜하러 떠나고 없노 난 엔팁ㅋㅋ        "
"10",13,"극혐특성새끼들 욕하러왔는데","         다 인싸들이라 이런데 없네 아 ㅋㅋ        "
"11",15,"엣프제들은 인팁보면 뭔생각하냐","엣프제들 보면 확실히 졸라 인싸같음같이 잇으면 분위기 자기들이 알아서만들어줘서 편함근데 가끔 과격한거 같애서 무서움싫다기보단 확실히 뭔가 나랑친구할일은 확실히 없어보이긴 함 되게 생활패턴이 너무 달라서 ㅋㅋㅋㅋㅋㅋㅋ엣프제들은 인팁보고 음침하고 답답하다고 싫어할라나"
"12",17,"인싸갤","제 짱친이 엣프제에여 "
"13",18,"난 INTP이고 내 여친이 ESFJ인데","         ESFJ들은 어떤 생각하고 사나 보려고 왔더만 인싸갤이라 글이 하나도 없네..        "
"14",19,"에슾제 베프를 둔 이슾제 놀러왔어여","에슾 친구는 24시간 별 쓰잘데기 없는 걸로 연락 계속 보내고 어그로 ㅈㄴ끄는데 이슾제인 나는 어느정도 무시하면서 그래도 받아줄건 다 받아줘서 잘맞는듯 벌써 12년째 친구임 ㅋㅋ"
"15",20,"딱 한 번 ESFJ 나온 적 잇었음","         좀 생각이 사라지고 긍정적인 생각들이 머리를 차지할 때, 엄청 즐겁게 테스트를 치니까 ESFJ가 나왔었음 ㅋㅋ생각해보니까 디씨에는 많이 없을 것 같더라고, 그랬더니 정말로 없네 깔ㄲ랄까라깔까띾 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ        "
"16",23,"ㅋㅋㅋㅋㅋㅋㅋㅋ","ㅋㅋㅋㅋㅋㅋㅋ "
"17",24,"ENTP 어때 ??!","내 이상형이 esfj 라서"
"18",27,"엣프제 = 꼰대","말수좀 줄여라 제발"
"19",28,"여기가 그 인싸 성격 갤러리군요","Intp인데 솔직히 좀 부럽습니다. 당신들은 헬조선 사회생활 최적화 유형 같아요. 다음 생엔 꼭 이 성격으로 태어날게요. 안녕히 계세요"
"20",29,"말좀 그만하고 참견좀 그만해 시.팔년들아","단어 하나 나오면 10분이상 쳐말함 설명충새끼들"
"21",31,"인싸 어떻게 되나요","         인싸되고싶어!        "
"22",32,"entj 어떰??","ENTj 여자 어떰친구일때랑 애인일때랑잘못적음유ㅜㅜ"
"23",33,"나 INFJ였는데 헤어지고 검사했더니ESFJ됨","뭐가 잘못된거냐 시바~~~ㅎㅋㅋㄱㅋ성격 조녜꼬인거같네"
"24",34,"와 씨발 진짜 글이 리젠이 좆도 안되노","엣프제 쌉호감이라 궁금한데..."
"25",35,"내 이상형 esfj라 놀러와봤는데.,",""
"26",36,"이상형유형 ESFJ나와서 들어왔는데...",""
"27",37,"zㅋㅋㅋㅋㅋㅋ와 나도 esfj가 이상형엠비티아로 나와서 와봤는데","다인싸들이라 디씨가튼거안하나  난 istp임 근데 엣프제들은 별로안좋아하겠지ㅋㅋ 나도 나같은유형 ㅈㄴ 동족혐오해서 "
"28",39,"esfj갤인데 정작esfj는 없는거같네","ㅋㅋ"
"29",40,"안녕하세요, MBTI별 설문조사 하러 나왔습니다.",""
"30",41,"엄마가 esfj라 와봤는데","         아무도 없노 ㅋㅋ        "
"31",42,"MBTI  설문 참여해주세요 여러분","         https://forms.gle/YTWrY5EDvcRgtwqk9나중에 통계나옵니다        "
"32",45,"당분간 MBTI갤에서 활동하지 않았으면 한다.","보면 알겠지만 갤매가 참 문제가 많은 사람이다. "
"33",46,"16 마이너 갤러리 리스트","         ENFJENFPENTJENTPESFJESFPESTJESTPINFJINFPINTJINTPISFJISFPISTJISTP"
"34",48,"esfj들 인싸들이여서 밖에서 노느라 이런 갤 안옴ㅇㅇ","         ㅇㅇ        "
"35",50,"ESFJ인데 친구가 니 욕 겁나 먹는다고 해서와봄,들어와바 해명좀하게ㅠ","         얘들아 나는 ESFJ이고 나이는 20이다. 읽어보니까 총 3가지로 나뉘던데1.말 개많다2.참견 겁나한다3.위사람한테아부떨고아래사람한테꼰대짓오진다일단 1번....이건 맞아 인정할게 ㅋㅋㅋㅋ2번....이것도 맞아 인정할게 근데 나무위키만 봐도 그렇고 나는 내가 하는말이 상대한테 어떤 영향을 줄까를 엄청 생각하고 말하거든?그래서 말해도 겁나 예쁘게 말할거 같은데....아마 너가 본 ESFJ는 어릴 떄부터 계급사회와 자본주의에 찌든 쌉꼰대 ESFJ를 본걸꺼야..약간 흑화된 ESFJ라고 볼 수 있어, 살아남기에 특화된 그런3번....위사람한테 아부 잘떠는건 맞아 근데 아부 떠는걸 좋아하진 않아, 근데 꼰대는 오히려 아니야, 오히려 꼰대 처럼 보일까봐 말을 아끼기도 하는데 무슨 말을 하는건지;;나는 길가다가 고딩이 담배피는거 보면 그냥 지나가거나 같이 필거야 ㅇㅋ? 꼰대는 '야 담배꺼 경찰 신고하기 전에' 이렇겠지그리고 TMI! 나는 원래 ESTP였는데 중학교 때 일련의 사건으로 친구관계 유지를 위해 ESFJ로 바뀌었어 충격을 좀 먹어서...그렇다가 요즘은 ESTP로 조금씩 바뀌는 중이야ESFJ들 다 싸잡아서 욕하지 말아줘 얘들아...상처받아 ㅠㅠ 나무 위키가서 설명만 읽어봐도 뭔 사람인지 알텐데 넘모 슬프당        "
"36",51,"너네 인프피 어케 생각함?","학교 특성상 엣프제가 다수라서...난 뭔가 친하게 지내고 싶어도 거리감 느껴지더라"
"37",53,"isfj는 싫은데 esfj는 좋음","진짜ㅋㅋㅋㅋㅋ "
"38",54,"ㅋㅋㅋㅋ mbti갤러리도 있네","ㅎㅇ esfj임 ㅋㅋ"
"39",56,"안녕 놀러왔어","ㅎㅇ 궁금한거 있음 물어바"
"40",57,"너네랑 나랑 잘 맞대","혹시 적극 적임 ? 난 먼저 다가와주는 사람이 좋던데 "
"41",58,"ㅎㅇ itp야 ","너내랑 내가 잘맞을 확률이 높대 "
"42",59,"entp는 니네를 사랑하게 되어있음","사랑해"
"43",61,"ESFJ행성 탐사 보고서","​※ ESFJ행성 탐사결과 ​ ​ [가장 오지랖이 넓다고 평가받음.] [물론 잘 되라고 하는 얘기지만 남이 들을때는 꼰대같음.] [사실상 ESFJ는 없고 다른 행성 사람들 밖에 없음] [다른 행성 주민들이 ESFJ 주민들에게 불만을 토로하는 글 밖에 없음.] "
"44",62,"Esfj 장단점","타 유형이 보는 esfj 장단점장점내 식구는 잘 챙겨준다원리원칙을 중요시하여 업무 시 나름 좋은 성과를 보인다한 직장을 꾸준히 다닌다핵인싸라 친구가 많아 도움받는 일이 많다(도움 받으면 무조건 돌려준다)오지랖이 넓어 내 일 마냥 잘 도와준다눈치가 빠르다외적에 관심이 많아 잘 꾸민다 (허나 자신의 감각에 따라 꾸미기 때문에 패션감각이 없는 사람은 촌스럽게 꾸밀 오류가 있다)이성과 스포트라이트가 잘 터진다서비스직(판매 관련)에 매우 적합하다 기억력이 좋다단점말이 많다. 쓸데없는 말이 너~~~무 많다.뒷담을 각양각색 신랄하게 잘깐다. 했던 얘기 또 하는 모습이 많다. (고장난 라디오)오지랖이 조온나게 넓고 원리원칙 기질이라 꼰대 기질이 매우 높다.한 직장을 너무 오래다녀서 이직 시 일머리가 없는 경우가 있다핵인싸라 같이 있는 아싸는 매우 피곤하다자신이 싫어하는 대상을 보면 무논리적으로 비난하거나 심하면 외적으로도 비난한다.이성과 잘 싸운다.기억력이 너무 좋아서 싸우다가 갑자기 구석기 시대 쯤의 매우 오랜 시절 얘기를 갑자기 꺼내서 싸울 때가 많다.외적인면으로 사람을 판단하는 경향이 있어 만약 이 유형을 대할때 당신이 외적/사회적면으로 좋은 평판을 받고있다면 이 유형은 그냥 포로로 잡았다고 생각하면 된다. 목을 매고 물고 놔주질 않거나 사랑받을 확률이 높다.원리원칙이라 고집이 조온나게 쎄다. 타인이 누구냐에 따라 무논리적으로 맞서거나&주장을 무시한다 대부분 전자다.융통성이 없다. (필자의 친구 entj 유형은 이 유형과 같이 대화를 할 때 벽과 대화를 하는 것 같다며 코멘트를 남겼다)매우 보수적이다. 유교걸이다. 나이 먹은 esfj 여자 경우 남성을 숭배하는 경향이 있기도 하다.여우가 많다. (그만큼 이성과 스포트라이트가 잘 터진다)유형궁합(꼰대 기질이 높은 사람과 잘 맞는다)Istj Estj 가장 잘 맞는 유형Entj intj intp estp 가장 잘 안 맞는 유형조언이 유형 사람과 절대로 논리적으로 대하지 말고 감성적으로 대해라.(논리적이어도 못 알아 듣는 경우가 대부분이다)이 유형과 싸우지 말고 좋은 모습을 보여라. 힘없는esfj라면 짓밟거나 무시해도 상관없지만힘있고+사회망이 넓은 esfj라면 절대로 눈밖에 보이면 안된다. 여자의 경우 사회적으로 매장 당할 확률이 높다.남성의 경우 잘 대처하면 살아남을 확률이 높으나 여자는 무조건 조심하라. (왜냐면 대부분 esfj가 여성이기 때문이다. Esfj는 이성에겐 그다지 좋은 모습을 보이나, 동성에겐 매우매우 좋지 못한 모습을 보인다)일 잘하고 똑부러지며 외적으로 평판이 좋으면 이 유형은 신경 안써도 된다. (특히 entj,estj이라면 사랑 받을 것임)직장에 이런 유형이 있으면 피곤한 몫은 당신 몫. 웬만하면 마주치지 말자...ㅜㅜ"
"45",63,"형 오빠 누나 언니 동생이 istp면 어떠냐","내 동생 istp인데 성격 궁합상으론 최상이라 뜨거든?첫인상 무미건조 하고 차갑지만 친해지면 바보다고정관념하고 편견이 없는 편이다마이웨이 독고다이 혼밥가능자기주장 강하다개인주의 성향이 강하고 혼자만의 시간을 중요하게 여긴다고집이 쎄다생각은 적극적인데 행동이 게으르다 머리로 공감 할줄은 아는데 공감 하고싶지도 해야될 필요도 없다"
"46",64,"토종 ESFJ가 말하는 특징","살다살다 이딴 갤도 생겼넼ㅋㅋㅋ참고로 남자 ㅇㅇESFJ 토종으로써 몇가지 싸질르고 가겠음.일단 존나 말이 끊기지 않음 쉬지도않고 진짜 말나오는 ATM기임살아가는 마인드는 관계중심적이라 일이 잘되든 지랄이되든 사람관계우선이라 일은 나중임.(우선순위)그리고 아부를 정말 잘하는데 평범한 아부가 아님. 진짜 아주 사람이 입이 귀에걸려 흐를정도로 아부를 떨어줌(아부는 살아남기위한 처세술임)좋아하는사람(사랑이든 충성이든) 있으면 간쓸개 다내주고 아주 충견이 된다.이 유형은 머리는 상대방 눈치를 보는데 행동은 눈치안봄(싸질러놓고 나중가서 이유찾고다님)어디 행사나 모임에 가서 ESFJ있으면 행사장 분위기 업되는거 어렵지 않음소심맨들 많으면 진짜 그 역할이 더더욱 튐.그리고 중요한거.. 웬만하면 사람들하고 다 두리뭉실 좋게좋게 지내서 이 유형이랑 정말 친하지 않은경우 속감정 알기 정말 힘든데(왜냐면 뒷담할때도 상대방 기분 맞춰서 뒷담해줌) 이 사람이 누구 싫어하기 시작하면 그 싫은사람은 이미 인간관계 마지노선을 달리고 있을 확률이 큼.일단 내 절친은 ISFJ인데 보통 개떡같이말해도 찰떡같이 알아먹는 관계고 ISFJ는 ESFJ에 살짝 규범과 고지식을 쑤셔넣은 느낌. 그래도 죽은 잘 맞는편.심심해서 몇자 적고 ㅌㅌ"
"47",68,"엣프제 궁합","         https://m.blog.naver.com/rnjsdusdlv1/222058750145        "
"48",69,"안녕 난 돌연변이 esfj야",""
