"","num","title","content"
"1",1,"첫글","         헤헤         "
"2",3,"infj의 유우머","140p 손"
"3",4,"자살할 용기가 없으니 그냥 고립된 채로 삶을 마감하자","나에게 내입맛에 맞게 세상을 바꿀 능력은 주어지지 않았다 좆같다 "
"4",7,"갤 탄생 기념 짤 몇개",""
"5",8,"사람들과의 관계를 어떻게 해야할까","나 자신이길 버리고 자신을 타인에게 맞추어 트러블 없이 살아가야 할까 아님  "
"6",9,"다들 고마워","이런 질문을 잘 받아들여 줄까 걱정했는데 다들 고마워 "
"7",10,"우와 심심해서 신청해봤는데 만들어졌네 ㅎㅎ","         여러분 사이좋게 지내요~        "
"8",11,"ㅂㅇㄹ",""
"9",12,"ㅎㅇㅎㅇ","갤 생겨서 놀러왔오"
"10",13,"갤탄생 축하하러 왔어야","잇티제지만 하이에요 "
"11",15,"인프제 갤 생겼엉 ㅛㅠㅠ","         맨날 인프피 갤에서만 놀았는데 갈대없어서 흐규ㅠ        "
"12",16,"infj 순해보이는데","또라이 기질도 엄청 강함 "
"13",17,"해리포터 정신병리 테스트를 해보았다","이런;;"
"14",19,"나도 해봤당","         https://www.idrlabs.com/kr/potter-pathologies/test.php인프제는 아마도 우울이 많을거같음https://blog.naver.com/dryks/221789425930비슷한 테스트인데 몇일전에 했던거 기억나서..블로그에 있는 결과 보니 흥미로웠음        "
"15",20,"뭐지 이거 심각해보이는데?","결과만 보면 정신병걸린 사람처럼 미친거같은데?ㅋㅋㅋ"
"16",21,"어...",""
"17",23,"entp인데 저거해봄",""
"18",24,"좀 쉬고싶어","         난 연애 못할거 같아다른건 다 되지만 ""이건 안돼!"" 하는게 너무도 분명해서이게 만족이 안되면 다 좋아도 그걸로 자꾸 싸우게 돼특히 문제가 내 집착과 그로인한 여파라고 생각이 들면 정말로 타격이 너무 커왜 다른데선 문제가 없는데 연애에서만 이러는지 모르겠어그냥 집에 쳐박혀서 영화만 주구창장 보고싶다...너희는 연애 괜찮아? 그냥 infj라서가 아니라 내 성격이 문제겠지..        "
"19",25,"요즘 항상드는 심적갈등","내가 좋아하는 사람에게만 관심을 쏟아야하는가?vs모든 사람에게 공평한 관심을 주어야하는가?전자처럼 살았더니 관심 못받던 사람이 나보고 싸패래...후자는 정말 귀찮지만 뭔가 양심상 편한거같기도해"
"20",27,"내가 하는 행동과 말이 위선인지 아닌지 구분하는 방법 없을까","나도 내가 지금 하는게 "
"21",29,"혼자라고 생각말기...","그런데 사람들 사이에 있어도 외로운걸 어떡해..."
"22",30,"나도 좀 무딘 성격이고싶다","쓸데없이 너무 예민한거같애..."
"23",31,"아니여기갤애들은 왤케 힘이 빠져있냐","친구중에 인프제가 몇몇 있긴 있는데 걔네들 우울할때 이갤애들처럼 다운된다 생각하니 좀 슬프노 "
"24",32,"인프제가 슬픈건 당연한건데","새삼스럽게 비정상취급하는게 싫음특히 엔팁이 그러더라 좀 신경꺼줬으면 좋겠는데"
