"","num","title","content"
"1",2,"근데 뭐하는갤이냐","어차피infp밖에 안올것같은데 "
"2",18,"흐응...","아흐응..."
"3",19,"ㅂㅅ아 존나 안좋은것만 싸놨네","infp도 좋은 점이 잇다고 "
"4",21,"인프피 특 자기가 원할 때 관심받는 거 좋아함","반면 예상치 못한 원치않는 상황에서 관심받으면 정병도짐"
"5",22,"infp의 장점 : 귀엽다"," - dc official App"
"6",24,"너 글 쓰는거 보니까 기여움 많이 받았을거 같응데?","귀염성이 있네 "
"7",25,"니들 주기적으로 검사할때마다 똑같이나옴?","난 방금 intp-t 이거나옴 "
"8",30,"infp장점 : 모부성애를 자극하고 보살핌을 잘받음","근거는 없음 근데 내가 그럼 "
"9",31,"난내속마음 속얘기 진실된 내진짜모습을 아는사람은 아무도없다고생각","ㅇㅇ 가족조차도.. 그냥 이건 정신병일수도있는데 단 한 번도 진실된속마음 터논적없음 "
"10",35,"갤매 야붕이네","자짤 어디서 많이 봤다했네"
"11",37,"infp인데 주위에 이유없이 나 엄청좋아하는애 꼭있음","뭘해도 이뻐해주고 귀여워해줌 근데 엄청 친하거나 편한사이는아님"
"12",39,"인팁이랑 인프피 차이가 뭐임?","ㅇㅇ?"
"13",40,"내스펙","20대후반 "
"14",46,"인붕이들아","대학가서 적응 어캐하냥 ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ "
"15",47,"난 내성격 좋아","낯가리는 찐따지만 "
"16",49,"힘들다...","힘드러..."
"17",50,"infp 장점 : 심성이 착하고 순수하다","근거는 없음 내가 그럼 "
"18",51,"인프피 마갤 발자국","ㅇㅇ"
"19",52,"난 내가 귀여움이나 보살핌을 받는다기보다","내가 남들한테 더 그럼 "
"20",53,"인프피가머냐","ㅇ "
"21",60,"나는 혼자 섹드립함","나는 좆같은 일 생각날때마다 아 쎅스하고싶다! 이렇개 말하는 버릇 생김 "
"22",66,"인프피가 정신병 제일 많이걸림?","그런거 같던데"
"23",67,"Intp입니다","전머임"
"24",68,"나 infj인데 특이한거?"," 별로없는건 확실한듯 "
"25",72,"소심 옹졸 음침","내특징임"
"26",73,"인프피님들 istp엿내요 저","ㅋㅋ.."
"27",75,"ㅁㅌㅊ?","전세계 2퍼래"
"28",77,"나는 나는","infp"
"29",78,"내 결과","10번해도 이것만 나와"
"30",80,"커뮤에 infp intp 많을수밖에없지","게으르고 현실성없는 찐따가 집에서 뭐하겠냐"
"31",82,"이갤 오래 못가 터질듯","갤매부터가 게으르고 우유부단한 인프피인데 ㅋㅋ"
"32",83,"infp가 제일 사회성 제로 병신이면","estj는 사회에서 ㅈㄴ 칭송받겠노"
"33",84,"Mbti바뀔수도 있냐?","나 고딩때 estj인가 나왔는데 지금 infp나옴 ㅋㅋ이거뭐냐"
"34",85,"MBTI 다시해봤습다",""
"35",88,"글 꼬리에 주소 어케담?","이 갤 살리고 싶다"
"36",89,"갱생실패햇서요","흑흑"
"37",91,"검정치마 조휴일 아는사람 ","빼박 infp맞지?"
"38",92,"인프피 존나 싫어","게으르고 시발 안좋은것만 다 모아뒀노 성격을 바꿔야겠다"
"39",93,"Infp는 예술해라 ","무라카미하루키미야자키하야오셰익스피어헤르만헤세팀버튼비요크커트코베인조앤롤링"
"40",95,"나 씹찐따임?",""
"41",97,"인프피 특징 이거맞는가좀봐줘라 내성격임","사람만나면 아저사람괜찮네 저사람 말재밌게하네  "
