"","num","title","content"
"1",1,"INTJ","유동의 영광스런 첫 글 "
"2",2,"222222","EE"
"3",4,"안녕하세요","         지나가던 intj입니다        "
"4",5,"반갑다","         반가워        "
"5",7,"오 인티제 갤 생겼네","ㅊㅊ"
"6",8,"우리 특성상","게시판이 활성화될 일 없을 듯"
"7",9,"곧 폐쇄될듯","어딜 가서든 행복해라 친구들"
"8",12,"intp에서 intj로 바뀜","ㅎㅇ"
"9",13,"사교적인 intj 없음?","나는 혼자서 밖에 나가 이것저것 하는 걸 좋아하는 스타일인데,매번 솔로플레이 하려니 심적으로 허전하기도 하고,정말 하고 싶은데 2인 이상이어야 할 수 있는 경우가 너무 많아서(ex 고급진 식당에서 식사하기) 필요하다 싶으면 먼저 친구한테 같이 하자고 연락하는데나 같은 intj 없음?보통 intj에게 있어 사교적인 약속은 거의 다른 사람 제안으로 성사되는 것 같던데오히려 나는 친구들 사이에서 가장 적극적으로 약속 잡는 포지션이라 조금 의아했다.특히 내가 키도 작고 몸집도 없어서 만만하게 보이는 건지혼자 돌아다니면 이상한 사람들 표적이 되는 경우가 많더라고(신천지 등등).가게 같은 곳 들어가도 은근히 무시하고 대충 대접하는 게 짜증나서 인해전술 시전하려는 건데intj들 사이에선 내가 특이한 거임? 너희는 이런 경우에도 먼저 다른 사람한테 연락하거나 약속 안 잡음?"
"10",14,"intj 에니어그램 뭐나옴?","난 3w4"
"11",19,"나 intp였는데 공익하면서 학교 행정실 일하더니 intj로 바뀜","공무원들이 내 뇌를 개조한게 틀림없다"
"12",20,"재수생","난 INTJ 재수생이야.찾아보니까 INTJ가 평균 학업능력이나 학력이 뛰어나군 ㅎ난 내가 별난 나르시스튼줄 ㄴ알았는데 이런 성향이 있구나 다행이다올해 성공할테니까 동지 여러분들도 성공하길."
"13",23,"인티제들 안녕","여성 인티제/인팁이 이상형이에여"
"14",25,"intj인 연예인/가상인물","         해리포터 - 볼드모트, 세베루스 스네이프 크리스토퍼 놀란감독, 제인 오스틴(오만과 편견 작가), 셜록홈즈 원작 중 모리아티 교수.스카이캐슬 김주영 쌤오바마 와이프 = 미쉘 오바마러시아의 최대 빌런 푸틴디즈니 - 엘사배우 강동원        "
"15",27,"극단적 효율충인데 극단적으로 게으름","뭘 할 때 제일 효율적인 루트 찾는 건 좋아하는데 "
"16",28,"Intj인데 고민좀","학창시절에 왕따는 당하진 않았는데내가 운동을 지지리도 못해서 팀에서 맨날 마지막으로 주워가는 애였음 그래서 자신감이 없었고 애들도 은근 날 깔봄중고딩가서는 공부는 전교권 들어서 말 거는 애들 몇명 있었음 그래서 밥은 어거지로 낑겨서 같이 먹었는데 얘네들하고 사적으로는 친해지기가 어려웠어 왜냐면 내가 운동도 못하고 피시방 게임도 안했었거든 그렇다고 재미도 없음 씹선비라서 그러다가 대학 중경외시 붙고 롤도 시작해보고(티어 브론즈) 옷도 좀 잘 입어지고 외모도 나름 가꿨어 근데 경영대여서 씹인사들만 모였는지 재미없는 나한테는 아무도 관심 안가져주더라... 그래서 지금 방학현재 연락오는 친구 0명.... 대학은 일단 휴학계냈어중고딩 애들 몇명 연락했는데 잘지내냐 대답하다가 만나자고 하니깐 문자 끊기더라그래서 아무도 연락안오고 방학 이후 3달째 히키 생활중... 진짜 죽고싶어...<현재 내 스펙>중경외시 문과키 168, 몸무게 55(헬스 좀 해서 등 어깨 근육 있음)롤 브론즈(렙 34), 노래방은 내가 목소리톤이 좀 높아서 잘 올라가는데 노래 부르는게 좀 재미가 없는지 애들이 같이 안가더라...성격이 약간 진지충임 사람 대하는게 어색해서 그런지 좀 어리벙벙하고 그런편이야 나는 친구 많은것도 바라지 않고 몇몇 동성친구들이랑 재미난 일상 얘기 욕도 좀 섞어가면서 얘기하고 술도 한잔하고 여행도 좀 가구 그러고 싶은데 21살인 현재 방법이 없을까??ㅠㅠㅠ"
"17",29,"나 성향테스트에서 INTJ나왔는데","연락하는 친구 다섯손가락안에 꼽는데 그와중에 일없으면 연락안해  친구라고 느껴지는 사람이 몇없어 대부분 아는사람이라고 밖에 안느껴져  학창시절 주로 혼자지냄 혼자가 편해서 쓸데없는 연락오는거 굉장히 싫어해 심하면 예전에 사귀던 여자친구에게 쓸데없이 연락한걸로 화낸적도있어  일처리할때 생각없이 대책없이 해놓고 남한테 떠넘기면 내 일이 아니어도 화나는걸 넘어서 혐오함  특히 지 편할라고 남 피해끼치고 뻔뻔하게 있는거 극도로 혐오해  한번 빠진게 있으면 질릴때까지해 근데 그걸 할때 완벽한게 아니면 만족을 못해 완벽할때까지 해야 직성이 풀려  심할땐 다 갈아엎고 처음부터 할때도 있어  내 사람이면 한없이 관대하고 이것저것 챙겨주고싶은데  내 사람이 아니면 그냥 관심없거나 냉정해  주위사람들이 성격이 알다가도 모르겠대  내가 내 성격이 지랄맞다고하면 다들 동의해  무능하고 아집만 부리는 윗사람에겐 경멸을 비치고  능력있는 후임을 더 신뢰하고 예의를 갖춰  첨보는 사람에겐 예의를 엄청갖추면서 이 사람이 어떤 사람인지 3개월동안 지켜보면서 3개월이 지나면 그 사람에 대해 판단해  이렇게 쓰고보니까 INTJ가 아니라 사회성 결여된 성격파탄자같은데  "
"18",31,"INTJ들아 너네도 다들 이래?","         인간관계 새로 맺는거 ㅈㄴ 귀찮고 복잡해서 벽치고사는데그 벽 뚫는 사람한테는 진짜 왠만해서는 주변사람들이 호구냐고 할 정도로 잘해줌근데 나는 그냥 그 사람이 소중하다?싶어서 잘해주는 거임남들눈에는 호구로 보이려나INTJ유형만 딱 보면 호구와는 거리가 먼 유형으로 보이길래 요즘 정체성 혼란중참고로 짝사랑도 ㅈㄴ 오래함지금 6년째        "
"19",33,"인티제들","오늘도 고생많으셨습니다 "
"20",34,"본인 인티제 자괴감","난 내 머가리 ㅅㅌㅊ 정도 되는지 알았는데 막상 정신병원 가서 검사해보니까 평균이라더라. 자괴감 들고 현타오네. 정신병 땜에 낮게 나온건가 "
"21",38,"지들이 특별한줄 알고있어 ㅋㅋ","ㅋㅋㅋㅋㅋ"
"22",40,"인티제들아","나 친구가 인티제인데 요즘 계속 어디가 안좋다 어디가 안좋다그러는데 이거 자기 뭐때문에 힘든지 고민들어주는게 좋을까 아님 그럼 병원을 가고약먹으라 조언을해주는게 좋을까?내가보기엔 스트레스로 멘탈이 약해진거같은데 자꾸 자기가 마치 큰병이라도 진짜 걸려서 모든 사람이 자기 걱정해주길원하는 느낌도 들고... 계속이러니까 상대방으로서 점점 지침 ㅜ"
"23",42,"탐구하는건 좋아하는데 자꾸 잡지식만 쌓임","         지식탐구란 모름지기 원래 내가 잘 몰랐던 분야일수록 더 재밌는 법이라한 분야 진득하게 파다가 다른 분야에 관심 생기면 또 그거 진득하게 팜그래서 내가 지금 공머생인데 세계 근대사 공부하고 있거든전공도 적성에 잘 맞고 재밌는데 그때그때 꽂혀서 공부하는 분야들이 더 재밌어군대 있을때는 재테크랑 철학 공부했고 방학때는 심시티 게임 하면서 도로랑 도시공학 공부했음이거 나만 이러냐?        "
"24",45,"여긴 갤 활성화가 안되는게","         나만 그런지 모르겠는데 뭔가 문제가 생기면 남한테 의논하기보다 자기 혼자 고민하고 해결해버리지 않냐?걍 자기 속에서 거의다 해결보다보니까 여기 글 올릴 일이 잘 없는거 같음대신 남들 고민 찾아보고 댓글 달아주는 건 재밌음        "
"25",46,"가끔 직설화법 좀 자제해야하나 생각이 들때가 있긴한데","         그 생각 바로 뒤에 내가 왜 직설 화법을 왜 그만둬야하는가 하는 생각이 따라옴 ㅋㅋ물론 안좋은 소리 할때는 좀 돌려말하긴 해야겠지만 그런게 아니고서야.. 굳이?        "
"26",48,"intj들 인터넷 말투들 너무 똑같다","가끔 내가 개인적으로 연락하는 그 인티제같아보이기도 하는데 다른사람맞지? "
"27",49,"인티제 특성상 이미 글을 쓰면 그 순간에 이미 나름 답을 내리고 있어서","         대화를 할만한 떡밥이 전혀 나오질 않네나도 일상생활에서 보면 항상 뭔가 제안하거나 대화를 하면 내가 막 답을 내리고 대안을 제시하려고 해서 좀 곤란함을 겪었던 적이 많은데 ㅋㅋㅋ여기도 갤이 거의 답정너식으로 흘러감        "
"28",51,"존나 시발","내가 쓰레기 같음"
"29",52,"자괴감에 빠져 허송세월 하느니","미쳐서 변해볼까"
"30",53,"인티제는 금수저마인드아님?","ㅇㅇ "
"31",54,"내 성격....이네","평소 활발한척 하는데 술먹으면 이 성격이 튀어나와"
"32",55,"인티제붕이들아 연애는 어캐하냐","         보닌 모솔이다...        "
"33",56,"너넨 어떤 유형이랑 잘맞는것갗냐","ㅎㅎ내 유형 나왔으면 좋겠다"
