"","num","title","content"
"1",1,"머임 이런갤도 있네",""
"2",2,"인팁갤 부활","글 쓰는게 귀찮아서 fail "
"3",3,"주근갤","꾁"
"4",11,"내가 겪은 개또라이 썰 인데, 이 새끼 왜 이런걸까 ??. TXT"," "
"5",12,"뭐야 인팁갤 있네","ㅎㅇ "
"6",13,"오 INTP갤이다","앙녕 "
"7",16,"안녕하세요. INTP 마이너 갤러리입니다. ","우선 인사가 늦어 죄송합니다.  "
"8",20,"엠비티아이갤 터졌으니 여기 써야지","주제는 뭘루할까 "
"9",24,"왜 여기 아무도 안 써","         인팁들끼리만 모여있으면 재미없어서 그런가        "
"10",25,"""나,등장""","""섹스"" 하고싶다.... "
"11",29,"사라졌다가 다시 생겼네",""
"12",32,"인프피에서 인팁으로 바꼇어여","ㅎㅇ"
"13",43,"다들무슨일해?","         나는 컴퓨터그래픽쪾에서일함너희는어떄?        "
"14",45,"INTP갤 자짤 없노?","         이거 쓰자        "
"15",46,"INTP 인생소개","- 소싯적: 책과 신문 보는 것을 좋아했음 - 중고등학교 시절: 왕따 - 수능성적: 언어1 수리5 외국어4 사탐1/1/3/3 - 대학교 시절: 1전공 경영 / 2전공 회계 (원래 경영 심화전공이었으나 팀플이 너무 싫어서 회계 복수전공함) - 군대 시절: 관심병사 - 스펙: 대외활동경력 없음 - 외국어에 관심은 많지만 토익에는 약함 - 진득하게 앉아서 공부하는 수험에 약함 - IQ: 고딩 때 반에서 1위였음 - 생활패턴이 불규칙해질 때가 많음 - 만화/애니/게임을 좋아하고 운동은 싫어함. 좋아하는 게임 장르는 RPG(검은사막 등) 및 슈팅(배틀그라운드 등) - 게임을 하면 남들이 이미 정립한 공략보다는 나만의 독자적인 방식을 시도하는 것을 좋아하는 편. 비인기캐릭터를 주로 선택함 - 몇몇 아이돌 이외에 연예인은 잘 모름 - 유행에 몰리는 걸 유치하게 생각함. 롱패딩이라든가 통바지라든가 - 좋아하는 브랜드: 아디다스 및 그외 SPA - 지금도 친구가 별로 없음 - 이성 취향: 키가 크고 몸매가 탄탄하며 보이시하거나 섹시한 스타일. 남성적인 면모가 강한 여성을 좋아함 - 정치성향: 중딩 때부터 쭉 우파 "
"16",47,"intp infp 그사이 어디쯤","내가 있겠지"
"17",48,"여자 너무 무서움","         ㅇㅈ?        "
"18",50,"intp는 무슨 일이 맞을까?","? "
"19",53,"좌익 지식인들은 뭔가 뇌와 정신의 구조가 나같은 보통 사람들과는","         좌익 지식인들은 뭔가 뇌와 정신의 구조가 나같은 보통 사람들과는 다른 것 같아.이리저리 말을 갖다 붙이고 꼬아서, 온갖 레토릭들을 꾸며내면, 그게 사실이 된다고 믿고 있어.사물에 대해서 사물 그 자체를 보는게 아니고,온갖 개념어들, 말의 꼬임들을 조합해서 기묘하게 바꿔 버린다.그리고 그게 진짜라고 믿는다.정신의 근간이 다르다.그리고 매스 미디어들은 저것들과 한 편.         "
"20",57,"다들 웩슬러 몇정도 나옴?","         나 딱 130인데 사실 2퍼니까 그렇게 뛰어난거까진 아니잖아..수학적인 그런 머리는 딱히 없음. 대신 직관이 좀 많이 좋아서 쎈 같은거 전체에서 95퍼센트정도는 아예 손 안쓰고 풀 수 있음. 근데 계속 하니까 난독오더라.초당 한페이지씩 읽을 수도 잇구..        "
"21",58,"카톡 이모티콘 잘 쓰는 인팁 있음?","난 원래 잘 안 쓰는 편이긴 한데난 그냥 말한 건데 상대방은 자기 싫어하냐 하더라구그래서 주변 친구들한테 내 말투가 그렇게 까칠하냐 했더니차라리 화내는 거 아니라고 강조하게끔 이모티콘 쓰라더라그래서 카톡 이모티콘을 말 끝나면 꼭 쓰게됨;"
"22",60,"카페인 섭취해도 두뇌회전에 도움되는거 잘 못느끼겠다","         오히려 심장 쿵쾅대고 붕 뜨는 느낌 들어서 머리쓰는데 방해되는 느낌임        "
"23",61,"안뇽","반가워@@@@@@@ "
"24",63,"나 intp였는데 공익 행정실 일 하면서 intj로 바뀜","공무원들이 내 뇌를 개조한게 틀림없음"
"25",64,"한국은 나이에 따른 서열의식 있어서. TXT","         한국은 나이에 따른 서열의식 있어서, 자기보다 나이 어린 사람한테매우 무례하고 제멋대로 굴고 군림하려 들고 찍어누르려 하고 모욕적으로 대하고이러는 인간들 존나 많음 ??글고 무의식적으로 저런 언동 행태가 나오는 거라서, 자기가 계속 저러면서도자기가 저랬다는 것, 저렇다는 것 을 모르면서 계속 저러며 삼?        "
