"","num","title","content"
"1",3,"글이 왜 업서요 잇프제들아","타 유형인데 구경하러 왔다가 내가 글쓰고 있네.... 당신들 궁금해"
"2",6,"부모님 isfj길래 왔는데 다들 안계시네요","다들 현재를 살아가느라 바쁘신감ㅠ "
"3",8,"ISFJ 님들 어디 가셨어요","얘기 좀 해요"
"4",9,"여친이 isfj임 ","난 intp"
"5",10,"난","다른 의견이 있어도 웬만하면 다수 의견 따르는데 너넨 어때"
"6",11,"너네 애인한테 화난거 얘기잘안함?","난 잘못함 화잘못냄 화낼때도 이렇게 말하면 기분나쁘지않을까 이생각부터함 나도 병신은 아니라 한두번은 넘어가는데 지속될 경우 연끊음"
"7",12,"잇프제 좋아","ㅇㅇ"
"8",14,"isfj가 느끼는 스스로성격","어떤것같음 하나씩 써봐 난 일단 속으로 삭히는거? 우유부단한거"
"9",15,"얘들아 글 좀 써줘 제발","좋아하는 애 잇프제란 말이야 궁금해 죽어 나"
"10",16,"글 리젠뭐야","역시 우리 유형답다ㅋㅋㅋ  갤 개업 ㅊㅋ "
"11",18,"잘 찾아온거 맞노?",""
"12",19,"계획 세우고 지키는 거 엄청 중요하게 여김","하나라도 어긋나면 엄청 예민해지는데 그 중간에 누가 뭐 하자 그러면 거절을 못함 ㅠ 하잔대로 하고 엄청 후회함그리고 어긋난 상태에서 대처를 못함 빵꾸난 계획이 자꾸 생각남 멘붕 와서 하루 그냥 날린 적 많음 "
"13",20,"놀렸을때 반응 제일 재밌는 유형인듯","내가 생각해도 그런거 같긴해 ㅋㅋㅋ 친구들이 장난 많이침 "
"14",21,"남친이 istp면 어떨 것 같아??","주변에선 내가 상처 많이 받을거라는데 솔직히 ㄹㅇ 무뚝뚝하고 연락도 안하는데 알고 만나서 그런가 진짜 하나도 안서운하고 그냥 그러려니 해ㅠㅠㅠ근데 또 왜 잇팁만의 스윗함이 있잖아;; 우리 지금 여섯 달 만났는데 한번도 안싸웠어ㅎ  다른 잇프제 잇팁 커플도 그래??"
"15",22,"자기 얘기 안하는 isfj들..","그래서 글마저 없다..."
"16",23,"MBTI 갤러리에서 떡 돌리러 왔습니다.","반갑습니다. "
"17",24,"여기 남자 없음?","Isfj 남자 찾기 힘드네"
"18",25,"남자 isfj로 산다는것..","족나게 답답한것 입니다..  그래서 쿨한 사람들이 부러워 "
"19",26,"이런 성격검사 잘 안믿는데","그냥 보다 보니까 내얘기다 확 와닿더라 억지로 끼워 맞춘 느낌이 아니라  내 모습을 글로 정리해놓은 느낌 보완할 점도 딱 내가 느끼고 있는대로 쓰여져 있고 아무튼 놀랐어 "
"20",27,"isfp isfj ","원래는 isfp만 나오다가 다른 홈페이지에서 검사해보니isfj 나오는데 둘이 공통점이 있나?.."
"21",28,"출근 26분전 좆같다","여기갤에 일용직은 나박에없겠지 "
"22",29,"남친이 isfj인데 신기했던 점","본인한테 의지해주는 걸 굉장히 좋아함뭐든지 메모 계획한 대로 일이 안되면 굉장히 스트레스 받아함기분 나빴음에도 속마음 절대 얘기 안 함 하지만 티가 좀 나서 내가 몇번이고 물어봐야 그제야 말해주고 오히려 미안하다고 함난 infp라서 챙김받는 부분이 많은데 정말 엄마같아서 좋아"
"23",32,"잇프제보다는","'잇픚' 어때요..?"
"24",33,"잇프제 특징","이런거 여기에 하나쯤 있을 법 한데 없어서 퍼왔어ㅎㅎ"
"25",34,"혹시 너네도 전화 잘 못 받아?","나만 그런가? 그냥 문자가 생각할 시간도 있고 정리해서 보낼 수 있어서 더 좋아 전화는 바로바로 답해야하자너 좀 부담?스러움물론 친한 사이엔 좀 괜찮은데 "
"26",35,"Isfj 로써 성격 ㄹㅇ 좆같음;;","난 똑부러지고 할말 다하는 사람 동경함.. ....ㅇㅇ ㅠ 그래서 일부러 너무 사람 눈치보지 않고 내가 싫은건 안하려고 노력하고 있어.. 그래도 isfj라서 맘에 드는 부분은 남한테 피해주는거 싫어하고 거절은 못할지언정 부탁은 안하는 독립적인 면모는 좋은거같음 또 남한테 딱히 관심은 없지만 오는 사람 안쳐내는 것도.ㅋㅋ  근데 남이랑 비교는 또 존나 많이함.. ㅋ 갑자기 생각난건데 어떤 새기가 일처리 제대로 못해놓고 가도 말 못하고 그냥 내가 수정함 ㅋㅋㅋㅋ 일처리는 다들 알다시피 게으른 완벽주의자 ㅇㅇ 그래도 해야하는 이유가 있으면(예를들어 이걸 안하면 남한테 피해가 감 <- 가장 강력한 동기 또는 1.누구한테 존나 지기 싫음 2.인정욕구 1,2는 나만 해당될 수도) 존나 꼼꼼하고 완벽하게 함 ㅋㅋ ㅋㅋ 진짜 남눈치만 쳐 안보고 게으르지만 않으면 괜찮은 성격인데.. 개잦같은 착한 호구새끼 성격 "
"27",36,"솔직히 이 갤 매니저님은 상줘야해","우리 유형이 나서서 주도하고 개척하고 그런건 없는데ㅋㅋㅋㅋㅋㅋ  갤 열어주심 "
"28",38,"다른 mbti 갤이랑 분위기부터 다르네 ㅋㅋㅋㅋ","여기잇으면 불편한고 하나도 없고 어머니 자궁마냥 개편안한데 내 남친이 e11n1t1j라서 한번 들어갓는데 ㄹㅇ 거친 야생마들 사이에 두려워하며 서있는 느낌이야.. "
"29",40,"노네는 남한테 관심 많니?? ","잇프제 특징 중 하나가 이타적이고 챙겨주는거 좋아하는거자나 그럴려면 기본적으로 남한테 관심이 많아야 하는거 아닝가??나는 챙겨주는 것도 내가 좋아하는 친구가 안좋은 상황에 있을때 빼곤 해본 적 없고.. 대부분 사람들에게 무관심한 편이라서.. i가 강해서 그런진 몰라도 귀찮은게 더 큼.. 딱 내가 외롭지 않을정도의 몇 명의 사람만 옆에 있으면 돼"
"30",41,"여기서 내 분신들과 얘기하고 생각해본 것들","인프제는 남 눈치 보는 것과 배려심 둘 다 장착하고 있음그러나 자의적 인프제와 타의적 인프제가 존재 자의적 인프제-> 배려심과 남눈치 중 전자가 더 큼 남 눈치 보느라 배려해주는 척 하는게 아니라 진짜 그 쪽이 더 편해서 나오는 기질타의적 인프제 -> 남눈치를 존나 많이봄 천성이 나쁘지만은 않지만 ‘내가 이걸 거절하면 남들이 싫어하지 않을까’ ‘여기서 내가 먼저 해버리면 남들이 날 안좋게 보겠지’에서 오는 행동인데 배려라는 멋진 탈을 썼을 뿐 이 경우 본인이 하기 싫어도 이상한 강박 땜문에 하는 행동이라 존나 괴로움 난 후자 ㅋㅋ"
"31",42,"그래도 난 내 성격 조아","어떻게 내 의견만 고집하고 살겠어 혼자 사는 것도 아닌데 ㅜ 그냥 갈등 자체가 싫다"
"32",44,"잇프제 멋진점",""
"33",45,"원래 성격이란게","장점이 곧 단점이고  단점이 곧 장점이니까 누군가에게는 우리도 부러운 성격일거야 "
"34",48,"너네 셀카 잘 올려?","난ㄴㄴ..잘 나온 거 있어도 사람들이 뭐야 ㅈㄴ다른데? 라고 생각할까봐 잘 못올려ㅋㅋㅋㅠ "
"35",50,"잇프제도 갤이 있네","         신기하당         "
"36",51,"와 진짜 너네들 글 읽다보니까","와.. 와 나같은 사람이 있긴 있었구나 신기하다  진짜 소름이 돋는다  이런게 진짜 공감이구나..  "
"37",53,"""무슨 생각을 하는지 알수가 없다""","좀 많이 들어본 소리 "
"38",54,"isfj = 초원에서 풀뜯고 있는 양들","매해애애 "
"39",56,"20대 초반까지는 istj 엿음","지금은 isfj 그때랑 지금이랑 비교해보면그따는 사회생활 존나 못한다규 생각햇엇음.. ㅇㅇ 지금 성격이 주변사람들이랑 어울리기 편함"
"40",57,"리젠 오지지 않아도 되니까 이렇게 소소하게 망하지만 말아줘"," 마음의 평화를 줘서 타유형인데 하루에 한 번 꼭 들러"
"41",58,"디시인생 최고의 갤인 것이에오","터지지 않았으면 하는 거시에오 하와와 "
"42",59,"타갤 구경도 재밌다","흘끔흘끔 "
"43",60,"아직 낯가리나봐","마음을 열어도 글 많이 씁시다"
"44",61,"오늘 글리젠 대성공이야","뿌듯 "
"45",62,"오늘도 잇프제의 게으른 완벽주의에 충실하고 왓어 ㅠ ","꼭두새벽에 일어나서 마지막에 헬스로 하루 마무리하고 오는 멋진 계획 세워놧엇는대 ㅋ ㅋ ㅋ ㅋ ㅋ개뿔~~~~ 내일은 다시도전~"
"46",63,"검사를 10번했는데도 같은 유형이야","F랑 T수치에 미세한 변동만 있을뿐  근데 둘이 비율도 별 차이가 안나  "
"47",64,"잇프제 성격에서 바꾸고자 노력하는 부분","1.남눈치 많이봐서 내가 하고자 하는대로 못함2.게으름흐앙 ㅠ ㅠ 1은 선넘지 않고 정중하게 얘기하면 될 문제인데 그것도 힘드누 ㅋㅋ ;;;;;;;"
"48",65,"게으른 완벽주의 잇프제의 내일 목표!","8시 20분 기상~~"
"49",66,"여기는 디시가 아님니다","맨날 거친말만 보다가 이런데 오니 평화롭군요.."
"50",67,"나만 변화에대해 존나민감함??","상대가 조금이라도바뀐거같으면존나거리두개된다말투라던가 나를대하는 방식이라던가"
"51",68,"내 도움으로 지인이 기뻐하는걸 보면","내적웃음 졸라지음  고맙단 표시까지 받으면 기분 하늘승천  "
