"","num","title","content"
"1",3,"근데 난 잇프피가 맞는거같은데","인프제가 나온다 자꾸 ㅋ  "
"2",4,"잇프피갤임니다","예쓰"
"3",6,"잇프피 남자는 무슨유형과 잘맞을까","난 ENTJ~~ "
"4",7,"잇프피에요","안녕하세요 "
"5",9,"헐 잇프피갤이다","안뇽안뇽"
"6",10,"잇프피 특징이 뭔가요","? "
"7",11,"잇프피 여성분들 이상형이 뭐에용","         ㅇㅅㅇ        "
"8",12,"역시 조용한 잇프피갤","글 써놓고도 뒤로가기 할때도 있다.... "
"9",13,"ㅎㅇ이갤잇는지왜몰랏지","드디어 내집 찾앗당"
"10",15,"Isfp-a","하이요"
"11",16,"역시 잇프피 ㅋㅋ","눈팅만 하고 글이랑 댓글은 적은게 진짜 딱 잇프피갤다워 "
"12",17,"잇프피 입갤","잇프피스러운 갤이다 "
"13",18,"님들 성인군자임?","진짜 그렇게생각해?난아님"
"14",19,"칭구가 추천해줘서 와봄","ㅎㅇㅎㅇ역시 자기얘기 하는거 싫어하는 사람들 뿐인지글젠 댓글이 적네 ㅎㅅㅎ"
"15",22,"아니 진짜 뭔가","글 쓰고 등록 버튼 누르기 전에 쫄려서 뒤로가기 누름.."
"16",23,"돼지갈비 먹을거임 저녁으러","나는 선택권이 없엇다. ㅜ"
"17",24,"잇프피 인간관계는 뭔가","딱 이 글로 정리되는 느낌인데 너넨 어땡"
"18",25,"잇프피특","존나귀찮음 개귀찮음 뭐든지 귀찮음 "
"19",26,"예전부터 지금까지 모두 isfp만 나온 내특징 써봄","딱한번 esfp나올때 빼고 항상 isfp나왓음 내특징 적어봄 -뭐든지 귀찮아함 사실 이 글 쓰는것도 귀찮아서 하기 싫엇는데 isfp갤이 잇어서 들어와서 한번 써봄 약속도 앵간하면 잡기 싫음 근데 친구들 보고싶거나 가끔 삘올때 나감 -유연한 사고? 타인의 말을 잘 들어준다 이걸 유연하다고 해야될지 모르겟는데 일단 나는 타인에게 그렇게 큰 관심이 없음 그러다보니 그 사람에게 기대하는것도 없음 따라서 타인이 무엇을 하든 관심이 없는건데 그걸 유연하다고 하는 사람이 잇더라 뭐... 듣는건 잘하니까 그렇게 보일수도 잇겟네 -현실을 직시함 미래와 과거가 다 무슨소용이냐 어차피 지금이 제일 중요함 과거는 이미 지나가서 바꿀수 없고 미래는 지금이 잇어서 생기는거라고 생각함 따라서 지금이 제일 중요하다 ㅇㅈ? 근미래 말고는 생각할 가치0 사실 귀찮은게 좀더큰듯 과거는 생각해봣자 의미가없고 미래는 어차피 상황에 따라 바뀔건데 그때그때 생각하기엔 너무 골치아프다 생각하기도 싫음 -정이많다 정이 많나? 이건 잘 모르겟다 나한테 급한일 없거나 큰 손해만 아니면 부탁은 다 들어주는 편이긴함 이득은 잇어도 좋고 없어도 나중에 언젠가는 돌아오겟지 생각함 부탁의 정도는 내가 쉽게 해줄수 잇다면 ㅇㅋ 와 쓰다보니 존나많이 적엇네 더 적고싶은데 귀찮아서 걍끝냄ㅂ "
"20",27,"isfp특징","울려보고 싶음 "
"21",28,"우리갤 흥했으면 좋겠다","너무 조용해"
"22",29,"나 잇프피야","몇년째 안바뀌는준"
"23",30,"글좀써봐","잇프피라그런가 조용.."
"24",31,"이제일어낙어","ㅋ"
"25",32,"너네 입맛까다로운편?","난 주면 걍 먹는편"
"26",33,"현실적인데 감성적이어서","우울증도 자주걸리고 포기가빨라 너희도그러니?"
"27",34,"너네 애니어그램 몇번 나오냐","."
"28",35,"글","글쓰기 "
"29",37,"잇프피는 우리 엄마 유형임","잘 들어주시는데 귀찮음이 많으심 "
"30",38,"이 만화 잇프피 얘기같음","오른쪽 ixfp 같은데"
"31",39,"잇프피 들박마렵다","하아"
"32",40,"게으른 완벽주의자 ㄹㅇ 맞는말 아니냐?","ㅇㅇ "
"33",41,"잇프피 진ㅉㅏ 조~~~~용 하다!","조 ....오...용 하네 "
"34",42,"잇프피 특","ㄹㅇ 비호감이거나 싫어하는애가 아닌이상 나를 좋아하는게 느껴지면 겉으로는 티 안낼려해도 속으론 좋아죽음 "
"35",43,"나만 그런가 "," 친구 한명도 없어도 잘 살 수 있을것 같음 친구 물론 좋을때도 있지만 만나는거 ,연락 너무 귀찮고 나는 특히 약속 잡히는거에 스트레스 심한편임  그리고 나한테 좀 안 좋게 대하면 화 오지게 나는데 큰소리 못 내고 맨날 속으로만 손절각 잡음난 엄청 친한친구여도 알게모르게 감정소모 심한 것 같음잠수도 하루이틀은 타는데 며칠 더 지나면 친구 삐질까봐 억지로 연락함 집에서 동생이랑 노는게 더 편하고 꿀잼 내가 좀 불건강한편인가?ㅎ"
"36",44,"얘들 아 좋은 새벽 보내","ㅎㅎ"
"37",45,"잇프피 남자 어떻게 꼬셔 ㅈㅂ","확신받기전엔 티 잘 안낸대매 뭐 어찌해야 꼬셔짐"
"38",46,"안뇽","         나 고3인데 어떡해?        "
"39",47,"4년전에 해보고 오늘또해봤는데","isfp  나오네 ㅋㅅㅋ 내가생각하는 isfp= 부지런하여야만함. "
"40",50,"얘들아 너네띄어쓰기해?","난이제 공백칸누르기도귀찮아졌오 근데 읽는사람존중은 해줘야겟고 그래서띄엄띄엄 써 너네도그래?"
"41",51,"안녕 얘들아","방가워 "
"42",52,"잇프피갤 엄준식님 허락 받고 만들었냐?","이러기 있기냐"
"43",54,"잇 프피일기","공부하려고 했음귀찮아서 안함암튼 나는 잇프피니까 ㄱㅊ 유형값한거임"
"44",55,"오늘의 일기","나는 쓰레기다 하지만 내일부터 부지런하게 살면 된다 "
"45",56,"잇프피 평균공부량","아 "
"46",57,"잇프피도 -t냐 -a냐에 따라서 많이 다르네","https://youtu.be/2Ii76b9g5tM -t는 외부요인에 스트레스를 받기쉽고 -a는 스트레스에 더 강하다네 "
"47",58,"안녕","반가워 "
"48",59,"잇프피 볼 꼬집고 싶다","울리고 싶다"
"49",60,"갤을 살리자","조회수는 많은데 글이 없어 역시 잇프피들 "
"50",61,"이시국에 알바하는사람?","급전필요해서 생각없이 코노알바 덥석물었는데 오늘 2일찬데 가기싫다..ㅠ 어찌보면 제일 위험한데골랐어.. 어제도보니깐 사장이 cctv로 풀로 감시중ㅋㅅㅋ "
"51",62,"취준하다보면 탈잇픞 하고싶음","자소서에서는 계속 나만의 생각, 나만의 특출함, 전문성을 요구하는데, fi+se는 나를 죽이고 현실에 맞추는데 탁월한 기능이라 ㅈㄴ 평범해서 자기pr이 안됨. ni, te둘다 후달려서 전략적 접근 그런거 개못함.딱히 내유형에 불만 없었는데 사회나갈때 되니까 단점들이 미친듯이 튀어나와서 발목잡는중. 그래도 인생 안정궤도 올라가면 즐기면서 안빈낙도 ㅆㄱㄴ일테니 그거만 믿고 산다 히히"
"52",64,"코노 알바 2일차 후기","2시간안에 다 끝내려니 쉬는시간이 없었다..ㅠ  노래방알바처음이라 코로나시국이라그런지 손님나갈때마다 소독뿌리라는데 앉아있을시간이없었음. 시간은 잘감ㅋ  번화가라 20대들밖에안와서 다들 젠틀했다.  미자거르라는데 하아 걍 프리패스했다 청소하고소독하는데 언제걸러. 커플지옥 솔로천국..ㅅㅂ  "
"53",65,"나 흑우기질 개쩌러","뭐 맛없다그러면 얼마나 맛없는지 궁금해서 먹어보고 시픔"
"54",68,"잇프피 특징 잘 정리된 블로그","https://m.blog.naver.com/dailypharm/221593343910는 사실 유명한곳"
