"","num","title","content"
"1",2,"1빠","ㅇㅇ"
"2",3,"잇티제갤 생겼네 ","ㅎㅇ 잇팁왔다감 "
"3",4,"잇하","잇티 제하이 라 는뜻이다 "
"4",5,"글리젠 없어서 쓰는 갤기장","어제 톡하다가 얘기가 폐렴얘기로 흘러감 막 서로 걱정하다 내가 마스크 안써서 혼난얘기 해줬더니 걔가 친구 향내맡으러 가기 싫다 이렇게 걱정해줌 그래서 생각없이 육개장 잘하는데로 집 찾아볼게 이지랄하려다 스스로 놀라서 지우고 ㅋ 연타. 싸물게 만드는 기능이 먼지 모르겠지만 오늘도 갑분싸 1스택 피해서 다행. "
"5",6,"하하 추천이 늘엇서","이런 츤데레들 "
"6",8,"ㅎㅇ","잇티제 입갤 질문 받음 "
"7",10,"갤기장","임플란트 2차수술함마취풀리고 처음엔 괜찮았는데저녁되니 아파뒤질거같다시발"
"8",11,"젤 흔한 유형이라매","근데 왜 사람 없어 "
"9",14,"갤기장","오우 하이"
"10",17,"아마도 갤기장","도서관 가려다 갑자기 약속잡힘 "
"11",18,"잇티제스러운 노래추천","https://www.youtube.com/watch?v=7fsavq0mU2k"
"12",25,"하이","역시 언제와도 조용한 잇티제 "
"13",27,"피난왔는데","여기가 무덤이엇내 ㅅㅂ"
"14",31,"옆동네는 맨날 터지네","여긴 좀 터져봤으면 좋겠는데 중간이 업서 "
"15",35,"하하 리젠 뒤졋다","낄낄 "
"16",46,"ISTJ의 의사소통 방식",""
"17",47,"나는 7시 취침인데","같은 잇티제지만 ㅋㅋ "
"18",54,"mbti 기능별 특징",""
"19",55,"mbti 시나몬롤",""
"20",57,"갤존나 istj갤 답네...","istj 아닌데 놀러와봤음,,,,내가 느끼는 istj 특징) 범생이임, 꼰대임, 룰같은거 잘따름,노잼임끝"
"21",58,"istj는 인터넷 커뮤 안하냐","난 istj인데 왜 디시 10년차냐 "
"22",59,"MBTI 갤러리에서 떡 돌리러 왔습니다.","반갑습니다. "
"23",62,"istj 없는 istj갤 ㅋㅋㅋㅋㅋ","인구 비율 1위 유형 다 어디갔노 ㅋㅋㅋㅋㅋ  "
