"","num","title","content"
"1",2,"엠비티아 갑자기 꽂혀서 갤까지 만들었는데","관리하기 귀찮아졌다 주딱 가져갈사람 "
"2",34,"나중에 사회생활 어케하지","꼰대 진짜 씹극혐ㅜ 지금 윗사람은 착한꼰대인데도 넘싫어서 관둘예정 친구들 얘기들어보면 더 심하던데 하... "
"3",35,"ISTP 잘맞는일 모냐","         쳐맞는다는얘기아님         "
"4",36,"너넨 하고 싶은 공부 같은 거 있음?","아니면 꼭 해보고 싶은 일이라도"
"5",38,"헐 대박","잇팁갤이라니"
"6",39,"잇팁은 친구 필요없다지만","오늘은 너무 심심하군"
"7",40,"일찍일남","춥다"
"8",41,"내 남친 잇팁이라 궁금한거잇는데","내가 찼다가 붙잡아서 다시 만나거든잇팁은 근데 관심없으면 다시 안 만나?내가 첫연애인데 엄청 잘해줘서 사귀게 됐거든 근데 일때매 지쳐서 식는 거 같길래 내가 찼어근데 걔가 자기 일이 바빠서 널 잘 챙길진 모르겠는데 내가 좋으면 다시 만나고 싶대관심없는데 걍 만나는거야?"
"9",42,"istp 다들 직업 모냐?","ㅈㄱㄴ"
"10",43,"사람귀찮아","         말좀섞으면 떼기힘들어서 극혐이다 ㅡㅡ        "
"11",44,"난 나 나름 감성적이라생각하는데","아무도안믿음잼"
"12",45,"정보글이나 장황한 글 써서 념글도 좀 채우고싶은데","미안하다 귀찮다 "
"13",46,"난 성격 고치고싶음....","내 목표는 엔프제야 4개 다 바꿔야대ㅋㅎ "
"14",47,"장문의 정보글 쓰고싶었는데 귀찮아짐","아무튼 주제는 이과급식충 ISTP는 자연대가지말고 공대가라는 주제였음 이유는 덜귀찮아지면 쓰러옴  "
"15",48,"너넨 잇팁이라 좋음?","난 좋 "
"16",49,"istp도 동족혐오 잇냐","난 나같은 성격 친구 사귀고싶은데 만난적이 잇나 모르겠네 "
"17",50,"버스에서 통화 크게 하는사람들 신기함","난 절대못해 엘레베이터에서도 모르는사람 타면 대화하다가도 끊음 누가 내 대화내용 듣는거 존나 싫어ㅜ "
"18",51,"난 아무리 검사해도 잇팁인데","왤케 웃기고 싶냐..."
"19",52,"동족은 아니고 ESTP는 만나봄","좀은 아니고 많이 병신같지만 멋지고 웃긴놈임 "
"20",53,"잇팁이 회사 이직률 높다던데","어쩐지 존나 관두거싶더라니 올해안에는 ㄹㅇ 때려쳐야지 칵퉤 "
"21",54,"서비스직 할게못된다정말.....",""
"22",55,"난 최대한 친절하게 응대한건데","통화 녹음된거 들어보면 존나 퉁명스러움ㅋㅋㅋ "
"23",56,"사람들 엠비티아 파악 잘하고싶다","친구들한테 검사해보라하면 예상한거랑 다틀리네ㅜㅜ "
"24",57,"일하기싫어서 죽고싶어ㅓ","갓수였을땐 너무 심심해서 뒤지고싶던데  자살하긴 싫고 남은 인생 어떻게살아가지  "
"25",58,"관심없는일 한귀로 흘리는거 잇팁특인가","이거때메 ㄹㅇ 사회생활 불가 ㅜ "
"26",60,"잇팁쉑들 글안쓰는거보소ㅋㅋ","귀찬자너 ㄹㅇㅋㅋ "
"27",61,"포방터돈까스 아재 딱 잇팁이네","나도 음식점하고싶다"
"28",62,"잇붕이들 새해복많이받아라~",""
"29",64,"잇붕이 오늘도 참지 못했다","날 통제하려고 하다니 한심하군,,,,명절만 되면 내 안의 파이터가 살아나는 느낌임 ㅠㅠㅠㅠㅠ살려조"
"30",69,"우한폐렴에 대해 어떻게생각하노","관심없냐 요즘 떠들썩한데 난 내가 걸리는게 상상이 안돼서 걱정안되는데 뉴스볼때마다 좀비영화처럼 세상 망하는 상상함 "
"31",70,"니네 친구몇명있냐","누가 물어봤을때 친하다 할수있을정도의 친구 난 중딩친구 3명 고딩친구 5명 대학없음 군대친구 1명 "
"32",71,"내가 먼저 연락을 안하니까 친구 다 떠나갓다","묻는말에만 대답하고 단답하고 할말없음 읽씹하고..... 나같아도 나같은 새끼 손절함ㅋㅋㅜ "
"33",72,"근데 인프피게이 왜 글삭튀했너","어디갓누ㅜ "
"34",73,"난 개씹아싸임","연락하는 친구 대충 10명 언저리임 친구는 인터넷 친구가 잇서요... "
"35",74,"근데 estp인 우리아부지는 개십인싸인거 보면","IE차이가 그렇게 큰가 싶음  나처럼 인간관계 관리를 위해 신경쓰는게 아니라 그냥 만나서 놀고싶고 연락하고 싶어서 연락했고 만난건데 그렇게 살다보니 알아서 인간관계가 맞춰진 느낌임  "
"36",76,"친구랑 둘이서 밥먹는데","이새끼가 밥먹다가 갑자기 에어팟끼고  통화를 시작함 (상대는 애인ㅡㅡ)  에어팟낀채로 밥먹고 둘이 대화하기도하고 나랑 대화하기도 하고 그럼  너넨 어떨거같애?  나 이때 개빡쳤는데 화내기 좀 그래서  꾹 참았거든 생각할수록 빡침 내가 예민한거노  "
"37",77,"친구랑 약속잡을때","지네 집 근처로 유도하는 애 2명 있는데 둘다 isfj  화내면 날 이상한사람으로 만들어서 항상 화를 못낼만큼만 빡치게함 "
"38",78,"너네 가족 mbti 뭔지알아?","집가서 시켜바야겟어 궁금해짐 "
"39",79,"닥터두리틀 보고옴","로다주 한번 죽더니 감잃엇누  문화의날이라 5천따리로 봤는데  돈아까워죽겠슴....  "
"40",80,"잇갤러 몇명이냐","인원체크 해보자고 비추 좀 눌러줘 "
"41",81,"우리가족 mbti","아빠 estp 엄마 intj 동생 enfp임 "
"42",82,"니네 벼락치기 많이하냐","아오시발 저번학기에 21학점 전부 하루 벼락치기했는데 컴활필기 또 벼락치기하고있다 시발 이거 이렇게살면 좆될거같은데 우짜누 "
"43",83,"잇갤러 13명이나 있네","많아야 5명인줄알았는데;; 너네 하루에 한개이상 글써ㅡㅡ 숙제야 "
"44",84,"오","Istp 갤러리가 따로 있네 자주 와야지 귀찮아도.."
"45",85,"istp 조언","https://youtu.be/tDPcOSoV1Ho 이거봐봐 영어잘몰라서 대충 알아듣기로는 새로운걸 배울때 곁가지는 쳐내고 핵심적인거 위주로 배우라는 말인듯 "
"46",87,"난 밥먹을때 주변에 있는 반찬만 먹어","손뻗는게 귀찮아서 안먹는건데 편식쟁이로 오해받음 "
"47",90,"알람 울리면 바로 일어나냐","난 알람 이렇게 해놓고 6시50분에 일어남 "
"48",91,"말많은 사람이 좋을때도 있음","내가 말이 없는데 또 어색한건 죽어도 싫으니까멍때릴수 있게 앞에서 쓸데없는 말 많이하는 애가 좋음 "
"49",92,"젤 말많은 유형이 엔프피인가","mbti갤에서 텍스트로만 봐도 극혐이던데 .... "
"50",94,"잇팁이라 글 안쓰는거지?","다들 귀찮나"
"51",95,"잇붕이들 이 말 좋아함?","내일은 내일의 태양이 뜬다 본인은 제일 좋아하는 말 "
"52",98,"헬스장 1년 끊었다","얼마나 갈까ㅋㅋ 최고기록 한달동안 2번간것임 "
"53",99,"mgram 해봤냐",""
"54",100,"안녕 나도 istp야","글 많이 올린게"
"55",101,"너네 특기같은거 있니?","난 술자리 좋아해서 회식때나 그런데 가면 신입사원이라고 뭐 시킬때도 있고친구들이랑 술마실때 재밌으라고 준비는 해놓는데회식때 병뚜껑 따는거 입으로 소리내보고 요즘은삼행시 연습겸 모바일 캐치마인드 하고있어"
"56",102,"ㅁㅏ슐 주인공 잇팁이네","3화까지 보니 확신으로 변함.  특히 왜 구해줬냐는 것에 대한 왠지 후회할 것 같아서-는 inf Fe의 전형인 듯  9w8 로 추정  주인공 -잇팁  할배 isfj , i*fj  마법학교 교장 en*j  자칭 천재 교사 ent* , e*tp  여자애 in??  "
"57",103,"잇팁들 뭐하고 돈벌고삼?","유학왔는데 너무 안맞는다 친구들은 여기가자 저기가자하는데 내가 쳐내게됨 그냥 좆같기만함 ㄹㅇ 차라리 기술배워서 취업하는게 나은듯 씹아싸성격이라 "
"58",104,"이상형 테스트",""
"59",105,"오늘부터 다이어리쓰기 도전한다","한줄씩이라도 써야지 "
"60",106,"장기자랑","테스트"
"61",107,"킹생충 국뽕오졋","ㅠㅜ주모오 "
"62",108,"여기서 사실고백 하나 합니다","기생충 아직도 안봣슴 2학기에 언젠간 보겠지 하다가 그만... 그런데 우리동네 영화관은 허구한날 스크린 독점 하면서 기생충 재상영도 안해주노ㅡㅡ "
"63",109,"호아킨 피닉스 멋있는 수상소감","남을 높이면서 자신도 높이는 화법 "
"64",110,"부지런한 istp","같은 어떤것 "
"65",111,"난 동성이랑 잘 못친해짐","여잔데안그런 애들도 많긴 하지만감정적으로 동조해줘야 하는 것도 너무 피곤하고좀 잘삐지는것도 없지 않아 있고돌려말하는 언어도 피곤하고.."
"66",113,"버스탈때 기사아재한테 인사하냐?","난 안함 먼저 해주시면 할때있긴함 "
"67",115,"와이파이만 된다면","격리당하고싶음.. "
"68",116,"난진짜 검사 백번해도 백번 다 Istp 나올건가봄","몇년에 한번씩 총 네번했는데 또저거야;;;오늘 문제풀면서 이번엔 옛날이랑 다르게푸는느낌나서 바뀔거같다 생각했는데 또 그대로라서 신기해Istp에 대해 궁금해서 여기알게되고 정주행해봤는데 진짜 존나 전부 내이야기맞아서 너무공감하고감 ㅋㅋㅋㅋㅋㅋㅋ "
"69",117,"취미 있는사람?","오래 할만한거 없냐 이것저것 하는거 좋아하는데 개빨리 식음ㅜㅡㅜ "
"70",119,"그러고보니 보닌 취미:요리였는데 자취시작하고 바뀜","내 그릇을 감당하기엔 자취방 냉장고는 너무 좁다. "
